,Gene,ImportanceScore,Pathway
404,MDM2,0.11525535556107917,shuffled_hsa04151_3
405,BCL2L1,0.20761893468284623,shuffled_hsa04151_3
406,TP53,0.07753050242163585,shuffled_hsa04151_3
407,CCND1,0.07756647180592216,shuffled_hsa04151_3
408,G6PC,0.07759495797771661,shuffled_hsa04151_3
409,GRB2,0.18090040745033084,shuffled_hsa04151_3
410,THEM4,0.28433791963982985,shuffled_hsa04151_3
411,CDC37,0.23862225676274043,shuffled_hsa04151_3
412,NOS3,0.07752032800882494,shuffled_hsa04151_3
413,DDIT4,0.11920400795771764,shuffled_hsa04151_3
414,STK11,0.07756896947760165,shuffled_hsa04151_3
415,CRTC2,0.21252934037989418,shuffled_hsa04151_3
416,CDKN1A,0.07752183347361527,shuffled_hsa04151_3
417,CASP9,0.3803469358055164,shuffled_hsa04151_3
418,RAF1,0.07747064554972534,shuffled_hsa04151_3
419,CD19,0.07750282238031948,shuffled_hsa04151_3
420,SYK,0.9992215553244346,shuffled_hsa04151_3
421,PTK2,0.46590218492575797,shuffled_hsa04151_3
422,RAC1,0.3621431967009835,shuffled_hsa04151_3
423,BRCA1,0.07762556290403783,shuffled_hsa04151_3
424,BCL2,0.07754312042014541,shuffled_hsa04151_3
425,MCL1,0.5040329450968728,shuffled_hsa04151_3
426,MYB,0.07757064379269053,shuffled_hsa04151_3
427,PIK3AP1,0.2790543214773097,shuffled_hsa04151_3
428,NR4A1,0.15493714281650117,shuffled_hsa04151_3
429,EIF4E,0.07256303045155969,shuffled_hsa04151_4
430,EIF4EBP1,0.07264098236555164,shuffled_hsa04151_4
431,EIF4B,0.07263281168727778,shuffled_hsa04151_4
432,RHEB,0.07253499296124184,shuffled_hsa04151_4
433,TSC2,0.3398351163007826,shuffled_hsa04151_4
434,TSC1,0.16460862876133053,shuffled_hsa04151_4
435,PDPK1,0.399984307935242,shuffled_hsa04151_4
436,PTEN,0.6663776488416359,shuffled_hsa04151_4
437,IRS1,0.944981063233563,shuffled_hsa04151_4
438,GSK3B,0.16736218018955767,shuffled_hsa04151_4
439,MYC,0.09421942087244864,shuffled_hsa04151_4
440,CDKN1B,0.2072054825289778,shuffled_hsa04151_4
441,RBL2,0.07248390521818127,shuffled_hsa04151_4
442,BCL2L11,0.07262812237854077,shuffled_hsa04151_4
443,FOXO3,0.2709811025162982,shuffled_hsa04151_4
444,BAD,0.072599189894976,shuffled_hsa04151_4
445,MDM2,0.14498438190338367,shuffled_hsa04151_4
446,BCL2L1,0.1273731856604583,shuffled_hsa04151_4
447,TP53,0.0726158011573523,shuffled_hsa04151_4
448,CCND1,0.07255485851292083,shuffled_hsa04151_4
449,G6PC,0.0725839008627727,shuffled_hsa04151_4
450,GRB2,0.14310206082674623,shuffled_hsa04151_4
451,THEM4,0.2759856272044692,shuffled_hsa04151_4
452,CDC37,0.1104253080779797,shuffled_hsa04151_4
453,NOS3,1.0,shuffled_hsa04151_4
454,DDIT4,0.07246746249610625,shuffled_hsa04151_4
