"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"386",213.530977345014,0.762138807486073,0.299344214816813,0.148731681346597,0.133982881392432,3,0.39238744777476,0.167722533635108,0.0662136606080643
"387",448.603776181697,0.762138807486073,0.732785252617404,0.150059127710398,0.0771653981240945,3,0.39238744777476,0.167722533635108,0.0662136606080643
"388",44.0190800987421,0.0613521552925024,0.702644911210282,0.01744506856061,0.0712994973361196,3,0.544154716296762,0.0941839335809935,0.0477547087405735
"389",58.0804174201072,0.0613521552925024,0.92389540912831,0.0858943553104439,0.00653625253011292,3,0.544154716296762,0.0941839335809935,0.0477547087405735
"390",14.8351201433513,0.0613521552925024,0.221250497918028,0.0684492867498339,0.0778357498662325,3,0.544154716296762,0.0941839335809935,0.0477547087405735
"394",55.4506043994492,0.144472028535539,0.470200103508036,0,0.0514644021050605,2,0.653999844846323,0,0.0649714764812424
"395",17.2387466749305,0.144472028535539,0.140130676343116,0,0.0768719413052237,2,0.653999844846323,0,0.0649714764812424
"396",38.8007887631369,0.144472028535539,0.33006942716492,0,0.0254075392001631,2,0.653999844846323,0,0.0649714764812424
"400",17.2698331442922,0.0894237293292197,0.225679209168767,0.00736155673633476,0.0944164994152237,3,0.405216580477107,0.105324228473333,0.127629693089302
"401",63.8183165030729,0.0894237293292197,0.883126693427633,0.0759033386663006,0.152634961417543,3,0.405216580477107,0.105324228473333,0.127629693089302
"402",50.5400095978869,0.0894237293292197,0.657447484258865,0.0685417819299659,0.247051460832767,3,0.405216580477107,0.105324228473333,0.127629693089302
"403",24.7864794812857,0.0649833122187468,0.469374207311313,0.0355774623291989,0.0447239639253603,3,0.427597971230141,0.0572988427151805,0.0716716033009215
"404",39.3730737815615,0.0649833122187468,0.749333356235892,0.0154249869657654,0.081597041410606,3,0.427597971230141,0.0572988427151805,0.0716716033009215
