Gene,Ramos_19O2_NoCyclo_1,Ramos_1O2_NoCyclo_3,Ramos_1O2_NoCyclo_2,Ramos_19O2_NoCyclo_3,Ramos_1O2_NoCyclo_1,Ramos_1O2_PlusCyclo_1,Ramos_1O2_PlusCyclo_3,Ramos_1O2_PlusCyclo_2,Ramos_19O2_NoCyclo_2
RP4-758J18.2,4.421017331634911,4.265766518570869,4.1339028222735825,4.3230751182912845,4.278249391399071,4.363626940091368,4.473977934348665,4.239730450275497,4.280551364863311
MRPL20,6.9999326731868505,7.021202316900846,6.988239481645489,7.042714699102213,6.963348268111926,6.981085312665303,7.019165929666947,7.006383725729545,7.075220491496345
RP4-758J18.13,2.016110000139595,1.680281201111803,1.4331512909877457,1.9198993538790068,1.4049466591512756,1.6725856289971017,1.6728583694228252,1.4798696168996464,1.481088375246994
ATAD3C,1.0356037000956373,1.1032542778276944,0.6200754097326973,1.1240944151898353,0.7542033640882236,1.1016627450887655,0.5935387490500557,0.8267810074786065,0.9582439007729582
ATAD3B,5.581387940773474,5.014712924458881,4.8383700740680835,5.598990108692597,5.034361804207531,5.368734363740185,5.336005670616173,5.1029444348865765,5.4808558167483294
RP5-832C2.8,0.2750001996387016,0.1862552381736493,0.12365637892596801,0.24943745032563858,0.0,0.14297998896334413,0.13984756122247813,0.06813106173977744,0.2492495546978205
ATAD3A,6.873220413578188,6.72991116564176,6.590947722176685,6.814389014025178,6.681974501451344,6.851069493399578,6.821064095215521,6.710493572600883,6.734917819955488
TMEM240,0.07381826514487805,0.2433546888038468,0.12365637892596801,0.19100368589214858,0.12639142691120803,0.07326054505705015,0.13984756122247813,0.1954397363164819,0.0
SSU72,7.206853069506174,7.219209086591485,7.183846622108052,7.197750930664817,7.179235465410479,7.182833213136161,7.224586314550034,7.233367346287762,7.149921764457898
RP5-832C2.5,0.6087956591814982,0.5453308999258637,0.661477640676257,0.6031642478366281,0.4977605005985138,0.5546633946676267,0.32707995933853756,0.4718239006349345,0.2492495546978205
C1orf233,0.395053347898388,0.5453308999258637,0.5335264007286191,0.24943745032563858,0.35013509675146937,0.209484929347119,0.7325961279952776,0.42062141293222843,0.3053703971572139
RP11-345P4.9,1.1423918549802483,0.8693495326360476,1.0831502626788583,0.849726996500483,0.8671373321531797,0.9543093256712349,1.1515109590829877,0.9402016959485079,0.46171438408189097
MIB2,2.7031780689739833,2.553154845829699,2.2505640536943976,2.7960619789328245,2.206836926386123,2.5079871334575827,2.440369715383755,2.5086055695051988,2.584385357521875
CDK11B,5.732908793064877,5.814048154682176,5.595192661843198,5.690150082617912,5.68893277234943,5.651878609089004,5.639769662253334,5.59665358489244,5.7189999500388025
RP11-345P4.10,0.0,0.0,0.12365637892596801,0.0,0.06457938137046833,0.07326054505705015,0.0716176320150323,0.06813106173977744,0.06646422075930239
SLC35E2B,5.704141622593074,5.707746219652619,5.479865470832914,5.562002934030777,5.668301189858674,5.707588217644096,5.717179223152804,5.59665358489244,5.568031016237608
CDK11A,0.7949189476500944,1.0720729078217297,0.8161384462151051,0.9934231972362157,1.3541812652274432,1.0298665089160706,0.9381715219335982,0.7458895114207535,1.184580951925611
