"CNV","MET","MRNA"
"SCGN","WNT9B","EMILIN1"
"KSR1","SDC4","FATE1"
"DUSP5","CCND2","RCAN3"
"TADA2A","TTC22","BCAT1"
"TAF8","C17orf58","GLIS3"
"HIST1H1A","MYO7B","DERA"
"BEGAIN","IFFO1","NEXN"
"ABHD15","CLDN14","RECK"
"PVALB","UCMA","MAGEA3"
"STK38L","MORC2","APOBEC3C"
"CRIP3","BACE2","TDRG1"
"CUL9","CH25H","MGMT"
"FOXI3","LIPK","IGSF21"
"CHST8","CRYAA","HOXB1"
"MX2","RAB37","IWS1"
"MPP7","SHANK3","TMEM8B"
"INPP5J","IL18R1","GRIN2B"
"HIST1H2BJ","CCL18","SLC25A10"
"PSD4","RNFT1","TAP1"
"PTHLH","TAP1","FAM69A"
"BUB1","DNMT3A","ST6GALNAC1"
"MALL","ALMS1P","MARCKSL1"
"FGD4","GZMH","LRRC37A"
"UNC119","TTC38","EML6"
"ANXA8","ALK","CCDC47"
"GPRIN2","FADS6","TNFRSF14"
"SYT15","HDAC1","CYGB"
"NRM","TMEM150A","COL6A2"
"PRR3","LOC389705","DMBT1"
"CEBPG","TNFRSF8","NAGK"
"PARVG","SHOX2","PAPSS2"
"LUZP1","ARNTL2","GABARAPL3"
"GRAMD4","PDE4B","DUS1L"
"NKAPL","GDF3","TP73"
"CAPG","UHRF2","HABP2"
"RETSAT","CCDC85C","PDPN"
"WRB","HYI","SFRP5"
"KCNK17","DUSP9","HIST1H3C"
"KCNK5","DLG5","SLC35B2"
"RCAN1","GNLY","SYT15"
"GDF10","CSNK1E","CRTC3"
"BTBD9","PCSK6","ASPRV1"
"COL6A2","TOMM5","ALDOC"
"FTCD","KCNH6","KRT40"
"LCA5L","KIAA1024","TIAF1"
"HHIPL1","RETSAT","KCNA6"
"HSP90AA1","TRIM15","HHIPL1"
"HIST1H4L","PZP","ATE1"
"MPI","SYT15","GLP1R"
"RPP25","ADRA2B","AGMAT"
"TMPRSS6","BOLA3","OR2H2"
"CCDC74B","GLIS3","FZD8"
"IMP4","C1QC","WFDC12"
"PTPN18","HPCA","STRADA"
"EXOSC3","ATE1","COL18A1"
"MBOAT1","BTBD16","EIF3L"
"MOCS1","INPP5J","RNFT1"
"ALDOC","PRMT8","HIST1H2BJ"
"BCL11B","IL1RL1","MX2"
"ALDH5A1","DPYSL4","MED1"
"GPLD1","CD163L1","ARHGDIB"
"FAM118A","WFDC6","LRRC16A"
"NUP50","INPP5B","MYO15B"
"SMC1B","TGM1","CD40"
"PAX7","CAPG","SH2D7"
"DERA","ELOVL3","HSP90AA1"
"CAMK2N1","OXCT2","SH2D5"
"FAM43B","RERG","ST6GALNAC3"
"KIF17","APOBEC3D","OXCT2"
"SH2D5","ZEB1","TCTEX1D1"
"VWA5B1","ST8SIA2","SSTR3"
"DENND5B","CCDC3","SIK1"
"GPRC5D","C22orf23","CDSN"
"CCNE1","GJB5","PI16"
"RRP1","LOC400927","KCNAB1"
"GRIN2B","FER1L5","AEBP2"
"RBM24","ACBD7","BARHL2"
"SERINC2","TMEM222","SCGN"
"SLC7A10","H1F0","FAM118A"
"POLDIP2","IFNA10","FAM167B"
"CPLX3","ISG20","CCND2"
"LMAN1L","TPO","PA2G4P4"
"CDKN2A","TSPO","ANKRD34C"
"CDKN2B","HABP2","TTC38"
"PATZ1","UTS2R","CA4"
"BTN1A1","FAM69A","FBXL20"
"HCG11","MYO3A","MESP1"
"IGSF21","ADAM12","NOC2L"
"FOXRED2","GRIN2B","TDRD1"
"TXN2","ACSF2","PSTPIP1"
"SLC6A4","EPHX4","DPYSL4"
"C1orf64","TSGA10","C6orf25"
"CLEC9A","MED29","TREML2"
"FBXO10","CLDN19","H1F0"
"POLR1E","ARFGAP3","SP2"
"TOMM5","FATE1","ITGB3"
"WDR20","HSPB7","WAC"
