"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"93","RB1CC1",-8.65925878882249,5.3322198593069,-42.7640451624987,4.10526864387957e-11,1.05721703248297e-09,15.1784940905339
"94","CENPA",-8.82709398469843,5.74711709747167,-42.5377955097581,4.29123758048917e-11,1.07777667903101e-09,15.1506632380053
"95","RPAP3",-8.18098581580373,5.30877896031334,-42.5370488962677,4.29186666898241e-11,1.07777667903101e-09,15.1505709410194
"96","BCL9L",-7.19375484889565,4.68707924905035,-42.5036583657171,4.32010693891343e-11,1.07777667903101e-09,15.146440091143
"97","GPI",-8.80863178422431,6.01331954849328,-42.4474584015702,4.36810907989983e-11,1.07851765426393e-09,15.1394737656849
"98","PARD6A",-6.98508943941184,4.60156762373869,-42.2042872399588,4.58280102827088e-11,1.11595321768406e-09,15.1091327091145
"99","SMARCA5",-8.10622764594132,5.7812033274652,-42.171197730031,4.61291726725352e-11,1.11595321768406e-09,15.1049789706161
"100","PHIP",-8.26491768818461,5.03512299209767,-41.8244216872042,4.94221239088109e-11,1.181101826062e-09,15.0610824955285
"101","S1PR2",-6.97128709057156,4.6958527194398,-41.7854381429079,4.980846949155e-11,1.181101826062e-09,15.0561057296659
"102","TRAF4",-8.73811889458956,6.08258980378871,-41.6145571357607,5.15423229823317e-11,1.21023395630083e-09,15.0341891923612
"103","SMNDC1",-7.95130888015757,5.44251368876277,-41.4422171602671,5.3359660038979e-11,1.24074160964422e-09,15.0119172478714
"104","PIBF1",-8.53264227845936,5.78667074155512,-41.3243727428194,5.4643588785498e-11,1.25837879943527e-09,14.9965897865174
"105","EAF1",-9.87630394143086,6.71411787108503,-41.2703156130923,5.52440817517138e-11,1.260091198051e-09,14.9895320008167
