"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"USP25"	4.672425	4.78136	4.1127	4.510962	3.733354	5.446256	4.689299	4.50462	4.465974
"WASF1"	6.011227	6.412782	6.50462	6.087463	6.399171	5.485427	6.270529	6.106432	6.482203
"UBE2A"	7.022368	6.78136	6.83289	6.768184	6.882643	6.714246	6.78136	6.686501	6.70044
"C19ORF53"	7.483816	7.209453	7.312883	7.257388	7.562242	6.72792	7.467606	7.392317	7.149747
"DERL1"	6.57289	6.523562	6.327328	6.536053	6.474112	5.857981	6.491853	6.577429	6.375039
"RCC1L"	6.266787	6.087463	5.965784	5.894818	6.15583	5.986411	5.736064	6.08534	5.899659
"MGA"	6.157852	5.906891	5.802193	5.940167	5.970394	5.716991	5.951868	5.958843	5.825277
"LIN54"	7.467606	7.044394	7.169925	7.129283	7.330917	6.78136	7.055282	7.33985	7.199672
"PDLIM7"	6.894818	6.84549	6.672425	6.84549	6.84549	6.586465	6.639522	7	6.611763
"CDC7"	6.643856	6.608809	6.768184	6.84549	6.741467	5.911692	6.918863	6.574404	6.70044
"ITM2B"	6.768184	6.942515	6.918863	6.857981	7.098032	6.434628	7	6.83289	7.118941
"FADS2"	5.799605	5.749534	5.596935	5.78136	5.809929	5.802193	5.649615	5.635174	5.652486
"TMEM70"	5.837943	5.72792	5.263034	5.593951	5.426265	5.289097	5.456149	5.722466	5.815063
"GLE1"	6.236493	6.133399	6.424586	6.300124	6.309249	6.042207	6.076816	6.072535	6.127221
"SZRD1"	5.442943	5.321928	5.599913	5.121015	5.638074	4.608809	5.514122	5.350497	5.510962
"CD53"	6.820179	7.011227	6.942515	6.78136	6.894818	6.268659	7	6.72792	7.087463
"MTMR9"	6.157852	6.093814	5.958843	6.221104	6.187847	6.181898	6.153805	5.995485	6.131343
"TMEM167B"	6.714246	6.965784	6.491853	6.581954	6.658211	6.357552	6.617651	6.70044	6.930737
"ALDH3A2"	5.951868	6.412782	5.875289	6.493455	6.171927	5.914086	6.087463	6.048759	6.251719
"NAA30"	5.672425	5.36807	5.36807	5.436295	5.53294	5.074677	5.422906	5.652486	5.395748
