Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
ANAPC2	8.756222713	7.195741293	9.359969132	7.415319248	7.23457796	8.962317655	9.28771238	8.865114619	7.710117632
KAT6A	9.094605565	8.979282276	8.915281866	8.834787049	7.192785959	8.917968728	9.040015679	9.095397023	7.122051448
CASP8AP2	9.01150682	8.833838844	10.07855113	9.919608239	9.347178416	8.974701379	9.216503368	9.016251155	10.33516701
ATP13A3	8.609548139	7.296457407	7.598424761	7.710806434	8.033423002	7.355791547	9.001408194	8.323730338	7.77478706
CDC6	9.139807127	8.232660757	8.518062976	8.579693063	9.067165427	8.099610812	8.701826258	8.955359305	9.219894527
CCDC43	9.223519087	8.452858965	9.843764057	8.76851518	9.397246787	9.595257481	8.708049252	9.206037546	9.611393726
USP47	8.730639956	8.729960561	9.414473836	9.491251848	8.6794801	8.746850183	9.032321287	8.780047576	9.339181934
KANSL3	8.553821257	7.304693557	8.134939643	7.51412226	8.534497434	8.439207555	7.354028938	8.797337288	8.410663341
CTTN	8.575161033	9.177917792	9.213833283	9.826071747	8.788881432	8.66853047	9.742477867	9.17990909	9.57799522
SNX1	8.636262089	9.066896443	9.908092341	10.10223819	9.12722055	9.032045727	8.880501871	8.926888964	10.09526514
MMTAG2	9.088788239	9.01346226	8.965207091	8.575917361	8.358431429	9.562814809	9.19991768	9.230260665	8.044940491
BRAP	9.177170346	8.786269628	4.655351829	4.867896464	9.14542272	8.732676223	8.852997588	8.646738698	5.311067102
HYPK	8.095397023	9.916178043	5.456149035	5.794415866	9.95011843	9.582894659	8.268191079	8.416586438	5.99095486
AKAP10	7.641690523	8.649974651	8.870672955	9.330916878	8.595816919	8.25219234	6.898450233	8.739105507	9.3226042
HAT1	9.92273305	9.918416052	9.491051376	10.72092824	10.09776879	8.584962501	9.592830744	8.887220615	10.93509137
PSEN1	8.544578117	8.561860708	8.222070355	8.191306019	8.529820947	8.686850653	8.306973057	8.716990894	8.20994068
PPP6R3	7.896635141	6.849248703	7.889351853	7.047669251	7.89542381	7.932510053	7.586464526	7.593951284	7.953032377
RMI1	8.13442632	7.791162889	8.514516816	7.893604905	8.208965886	8.444186663	8.033973543	7.935459748	8.585338154
PCDHGC3	9.48703608	9.824004051	9.91318862	10.02361576	9.117902789	9.747521673	9.26185986	8.435461914	9.355351096
KMT2C	7.881419908	8.270061673	7.460251099	8.23457796	7.860466259	7.719046504	7.332707934	8.839203788	7.764871591
GTSE1	7.830990481	7.503825738	8.364572432	7.637349411	8.347842794	8.144148367	8.109569509	8.129283017	8.598796925
DPF2	8.430034319	9.51412226	8.752213368	9.061236166	9.531966218	9.28077077	8.619486376	9.013741392	9.085074053
PGM2L1	9.562433244	9.93737382	9.883254231	10.07588021	9.946175241	9.566054038	9.682116765	9.05853297	10.21759425
CIT	8.54689446	10.17866485	7.057450272	8.060155495	10.20738044	9.481193978	8.5980525	9.000845082	8.080018029
IQGAP3	8.789207575	9.134683005	9.257387843	9.251955736	8.780047576	9.167167221	8.257859235	8.823048729	9.077883864
TCF3	10.43556609	8.93191939	9.909293086	9.396604781	10.39660478	9.53954658	9.811374694	9.329572126	10.87152026
HLA-B	9.197462446	9.028182348	7.590212761	8.435461914	8.850811922	8.352264173	8.220136447	7.961739073	8.002815016
ESCO2	9.304465409	9.36347774	10.54766575	10.07614753	9.28077077	9.796526375	9.581577216	9.501040996	10.10564665
POP1	7.94602899	8.353146825	8.932510053	8.913787	8.411087227	8.485829309	8.377644358	8.243650042	8.943686952
RABL6	8.517669388	9	6.707359132	6.553053253	9.053111336	9.135709286	8.197708158	8.991521846	6.201633861
AFF4	7.967514481	7.485426827	8.949826711	7.933100475	8.73369328	8.615077832	8.63008507	8.357552005	9.183139098
RPL32	6.407692649	6.375039431	4.727920455	6.842978832	6.175923742	4.307428525	6.6043679	6.21916852	6.451211112
ACD	8.276589716	9.39145842	8.841092545	9.236014192	8.586089166	8.92748169	9.257387843	8.955940451	8.592083234
MBD2	8.765534746	8.769176663	6.232660757	7.103287808	8.6574971	8.534497434	7.997179481	8.853309555	6.614709844
NSD2	9.151270289	8.544191698	9.164906927	9.110091752	8.928370323	8.788555215	8.99095486	8.646018611	9.405779683
PYGO2	9.391673219	9.293241719	8.601770788	8.823685681	9.00365845	8.935459748	9.309703711	9.000281749	8.505017556
UBXN7	8.518456456	9.451417196	8.269126679	8.76420813	9.130570563	9.059074015	9.027629592	9.28169825	8.53838296
SF3B1	8.603255425	8.741466986	5.672425342	5.449561375	7.703903573	8.73470962	7.696272084	8.947198584	4.54225805
