Gene,norm_19-A,norm_19-C,norm_1-1ug-B,norm_19-B,norm_1-B,norm_1-C,norm_1-1ug-C,norm_1-1ug-A,norm_1-A
GOLGA7,7.6293566200796095,7.721099188707186,7.826548487290915,7.693486957499325,7.794415866350106,7.483815777264256,7.851749041416057,7.700439718141092,7.672425341971495
MRPL53,7.98299357469431,7.894817763307944,7.960001932068081,7.894817763307944,7.912889336229962,7.7073591320808825,7.906890595608519,7.994353436858858,7.876516946564999
SUMO1,8.523561956057012,8.335390354693924,8.388017285345136,8.184875342908283,8.335390354693924,7.906890595608519,7.98299357469431,8.430452551665532,8.31741261376487
TONSL,6.03342300153745,6.323730337521348,6.163901213814542,6.004501392234941,6.316507819103109,5.832890014164741,6.135452784185173,6.434628227636725,6.017921907997263
TAOK3,7.05528243550119,6.977279923499917,7.20945336562895,6.965784284662087,7.087462841250339,6.439623137557117,7.05528243550119,7.066089190457772,6.954196310386875
DCP2,7.800899899920305,7.787902559391432,7.845490050944375,7.7414669864011465,7.826548487290915,7.658211482751795,7.98299357469431,7.870364719583405,7.774787059601174
SELENOT,7.285402218862249,7.366322214245816,7.3750394313469245,7.247927513443585,7.2761244052742375,7.426264754702098,7.546894459887636,7.285402218862249,7.257387842692652
AKAP17A,6.059614856297222,6.165911938935689,6.285402218862249,6.004501392234941,6.309248960816616,6.026800059343715,6.472487771462744,5.974988111991927,6.035623909730721
PCIF1,5.956521363333119,6.127220550488074,6.143638309922037,6.2268938135713885,6.139551352398794,5.88508622529017,6.232660756790275,6.08533966935737,6.106432077816929
FAM120B,5.857980995127572,5.791814071161826,5.77082904603249,5.6865005271832185,5.652486494918165,5.7865963618908065,5.7114949066500875,5.6865005271832185,5.776103988073165
MYD88,6.1838834590322325,5.892391025913404,6.129283016944966,6.076815597050831,6.0574502721839,5.149747119504682,5.906890595608519,6.026800059343715,6.0574502721839
RELL1,6.965784284662087,6.94251450533924,7.159871336778389,6.977279923499917,6.9886846867721655,6.930737337562887,7.076815597050831,7.2384047393250786,6.918863237274595
CYB5A,6.4950555283680185,5.897240425574799,6.490249210627085,6.026800059343715,6.261154672615572,5.78135971352466,6.287250643254617,6.153805336079036,6.006746832440585
NUDT16L1,6.2890967024199895,6.211401637418471,6.464341532761104,6.232660756790275,6.381975478557301,5.954196310386875,6.177917792195843,6.399171093819823,6.215290305651234
HAUS6,6.059614856297222,5.9140860970127225,5.9354597478052895,6.087462841250339,6.037821465434967,5.517275693209582,6.232660756790275,6.110613805500896,6.187846909439575
