"","feature","sample","value","view"
"341","RP11-195C7.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"342","ANGPTL1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"343","RP11-345I18.2","1% O2, CyA-",0,"Transcriptomics"
"344","RP11-345I18.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"345","AXDND1","1% O2, CyA-",0,"Transcriptomics"
"346","RP11-533E19.7","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"347","RP11-533E19.5","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"348","RP11-46A10.5","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"349","RP11-46A10.6","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"350","RP11-46A10.8","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"351","RP11-317P15.4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"352","RP11-181K3.4","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"353","COLGALT2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"354","CTA-253N17.1","1% O2, CyA-",0,"Transcriptomics"
"355","HMCN1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"356","PRG4","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"357","OCLM","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"358","RP11-113I24.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"359","RGS18","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"360","RP11-101E13.1","1% O2, CyA-",0,"Transcriptomics"
"361","RP11-489C13.1","1% O2, CyA-",0,"Transcriptomics"
"362","RP11-332L8.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
